f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,59.0,,98.0,
0.4,3.0,0.0,,,21.045454545454547,25.207188160676534,12.0,
0.5,3.0,0.0,,,10.12,15.536326530612245,0.0,
0.6,3.0,0.0,,,5.4,5.755102040816326,0.0,
0.7,3.0,0.0,,,3.5714285714285716,4.291666666666667,2.0,
0.8,3.0,0.0,,,2.4,1.510204081632653,0.0,
0.9,3.0,0.0,,,1.68,1.3648979591836734,0.0,
0.1,3.0,0.05,,,899.5,544.5,96.0,
0.2,3.0,0.05,,,252.16,4755.97387755102,0.0,
0.3,3.0,0.05,,,55.22,271.31795918367345,0.0,
0.4,3.0,0.05,,,18.44,45.59836734693877,0.0,
0.5,3.0,0.05,,,9.56,17.394285714285715,0.0,
0.6,3.0,0.05,,,5.78,6.78734693877551,0.0,
0.7,3.0,0.05,,,3.74,3.992244897959184,0.0,
0.8,3.0,0.05,,,2.24,1.9412244897959183,0.0,
0.9,3.0,0.05,,,1.92,1.2179591836734693,0.0,
0.1,3.0,0.1,1121.027431,392.2774305,728.75,18005.25,60.0,0.7475297842
0.2,3.0,0.1,280.2568576,130.1368576,150.12,1971.45,0.0,
0.3,3.0,0.1,124.5586034,84.99860339,39.56,143.31,0.0,
0.4,3.0,0.1,70.06421441,53.24421441,16.82,37.21,0.0,
0.5,3.0,0.1,44.84109722,35.78109722,9.06,7.36,0.0,
0.6,3.0,0.1,31.13965085,26.27965085,4.86,5.18,0.0,
0.7,3.0,0.1,22.87811083,19.87811083,3.0,2.61,0.0,
0.8,3.0,0.1,17.5160536,15.0160536,2.5,2.13,0.0,
0.9,3.0,0.1,13.83984482,12.11984482,1.72,1.19,0.0,
0.1,3.0,0.2,792.686098,164.086098,628.6,22915.66,16.0,
0.2,3.0,0.2,198.1715245,77.45152451,120.72,1809.8,0.0,
0.3,3.0,0.2,88.07623311,54.19623311,33.88,61.58,0.0,
0.4,3.0,0.2,49.54288113,35.20288113,14.34,12.56,0.0,
0.5,3.0,0.2,31.70744392,23.36744392,8.34,9.0,0.0,
0.6,3.0,0.2,22.01905828,17.03905828,4.98,3.69,0.0,
0.7,3.0,0.2,16.17726731,12.51726731,3.66,4.19,0.0,
0.8,3.0,0.2,12.38572028,10.02572028,2.36,1.99,0.0,
0.9,3.0,0.2,9.786248124,7.786248124,2.0,1.31,0.0,
0.1,3.0,0.3,647.2254888,86.91548879,560.31,31778.9,22.0,
0.2,3.0,0.3,161.8063722,59.7263722,102.08,490.85,0.0,
0.3,3.0,0.3,71.9139432,39.8339432,32.08,53.01,0.0,
0.4,3.0,0.3,40.45159305,26.55159305,13.9,13.6,0.0,
