f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,,,100.0,
0.4,3.0,0.0,,,,,100.0,
0.5,3.0,0.0,,,,,100.0,
0.6,3.0,0.0,,,11.4,61.3,90.0,
0.7,3.0,0.0,,,5.956521739130435,10.225296442687746,54.0,
0.8,3.0,0.0,,,3.9473684210526314,4.753911806543385,24.0,
0.9,3.0,0.0,,,3.0,2.097560975609756,16.0,
0.1,3.0,0.05,,,,,100.0,
0.2,3.0,0.05,,,490.4255319148936,25718.814986123958,6.0,
0.3,3.0,0.05,,,209.76,9665.737142857142,0.0,
0.4,3.0,0.05,,,72.72,693.8383673469388,0.0,
0.5,3.0,0.05,,,47.14,1524.0004081632653,0.0,
0.6,3.0,0.05,,,19.38,154.8934693877551,0.0,
0.7,3.0,0.05,,,11.92,74.6873469387755,0.0,
0.8,3.0,0.05,,,7.8,48.204081632653065,0.0,
0.9,3.0,0.05,,,3.94,9.935102040816327,0.0,
0.1,3.0,0.1,1121.027431,313.7374305,807.29,14109.52,52.0,0.8472268126
0.2,3.0,0.1,280.2568576,-13.40314237,293.66,19778.15,0.0,
0.3,3.0,0.1,124.5586034,32.35860339,92.2,1991.59,0.0,
0.4,3.0,0.1,70.06421441,23.06421441,47.0,415.31,0.0,
0.5,3.0,0.1,44.84109722,19.34109722,25.5,315.03,0.0,
0.6,3.0,0.1,31.13965085,19.27965085,11.86,40.94,0.0,
0.7,3.0,0.1,22.87811083,15.69811083,7.18,23.33,0.0,
0.8,3.0,0.1,17.5160536,13.3360536,4.18,9.54,0.0,
0.9,3.0,0.1,13.83984482,10.89984482,2.94,1.89,0.0,
0.1,3.0,0.2,792.686098,192.386098,600.3,30290.08,8.0,
0.2,3.0,0.2,198.1715245,57.41152451,140.76,2980.51,0.0,
0.3,3.0,0.2,88.07623311,37.43623311,50.64,286.11,0.0,
0.4,3.0,0.2,49.54288113,26.64288113,22.9,54.13,0.0,
0.5,3.0,0.2,31.70744392,17.80744392,13.9,58.34,0.0,
0.6,3.0,0.2,22.01905828,12.99905828,9.02,34.71,0.0,
0.7,3.0,0.2,16.17726731,10.33726731,5.84,7.52,0.0,
0.8,3.0,0.2,12.38572028,8.225720282,4.16,5.61,0.0,
0.9,3.0,0.2,9.786248124,6.546248124,3.24,5.12,0.0,
0.1,3.0,0.3,647.2254888,199.2654888,447.96,11465.29,2.0,
0.2,3.0,0.3,161.8063722,57.9863722,103.82,1102.68,0.0,
0.3,3.0,0.3,71.9139432,36.2339432,35.68,209.28,0.0,
0.4,3.0,0.3,40.45159305,21.61159305,18.84,31.81,0.0,
0.5,3.0,0.3,25.88901955,14.80901955,11.08,10.61,0.0,
