f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,,,100.0,
0.4,3.0,0.0,,,,,100.0,
0.5,3.0,0.0,,,,,100.0,
0.6,3.0,0.0,,,2.533333333333333,1.209090909090909,10.0,
0.7,3.0,0.0,,,1.8333333333333333,0.4397163120567376,4.0,
0.8,3.0,0.0,,,1.26,0.23714285714285716,0.0,
0.9,3.0,0.0,,,1.02,0.02,0.0,
0.1,3.0,0.05,,,,,100.0,
0.2,3.0,0.05,,,578.875,24105.132978723403,4.0,
0.3,3.0,0.05,,,194.68,9136.344489795918,0.0,
0.4,3.0,0.05,,,74.46,2141.6820408163267,0.0,
0.5,3.0,0.05,,,33.94,799.5677551020408,0.0,
0.6,3.0,0.05,,,2.8,4.204081632653061,0.0,
0.7,3.0,0.05,,,1.64,0.3575510204081633,0.0,
0.8,3.0,0.05,,,1.84,7.157551020408163,0.0,
0.9,3.0,0.05,,,1.0,0.0,0.0,
0.1,3.0,0.1,1121.027431,289.2274305,831.8,6434.03,70.0,0.8618208969
0.2,3.0,0.1,280.2568576,-68.13314237,348.39,21467.28,2.0,
0.3,3.0,0.1,124.5586034,25.43860339,99.12,1703.9,0.0,
0.4,3.0,0.1,70.06421441,33.76421441,36.3,416.05,0.0,
0.5,3.0,0.1,44.84109722,30.96109722,13.88,117.82,0.0,
0.6,3.0,0.1,31.13965085,28.81965085,2.32,1.32,0.0,
0.7,3.0,0.1,22.87811083,21.17811083,1.7,0.66,0.0,
0.8,3.0,0.1,17.5160536,16.1360536,1.38,0.32,0.0,
0.9,3.0,0.1,13.83984482,12.73984482,1.1,0.09,0.0,
0.1,3.0,0.2,792.686098,160.166098,632.52,20725.57,4.0,
0.2,3.0,0.2,198.1715245,28.79152451,169.38,2686.08,0.0,
0.3,3.0,0.2,88.07623311,35.23623311,52.84,656.55,0.0,
0.4,3.0,0.2,49.54288113,25.88288113,23.66,235.13,0.0,
0.5,3.0,0.2,31.70744392,23.78744392,7.92,17.3,0.0,
0.6,3.0,0.2,22.01905828,19.67905828,2.34,0.76,0.0,
0.7,3.0,0.2,16.17726731,14.15726731,2.02,0.55,0.0,
0.8,3.0,0.2,12.38572028,10.90572028,1.48,0.66,0.0,
0.9,3.0,0.2,9.786248124,8.766248124,1.02,0.02,0.0,
0.1,3.0,0.3,647.2254888,145.6454888,501.58,18523.8,0.0,
0.2,3.0,0.3,161.8063722,33.5663722,128.24,2354.72,0.0,
0.3,3.0,0.3,71.9139432,30.1339432,41.78,474.34,0.0,
0.4,3.0,0.3,40.45159305,24.65159305,15.8,45.31,0.0,
0.5,3.0,0.3,25.88901955,19.42901955,6.46,6.74,0.0,
