f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,,,100.0,
0.4,3.0,0.0,,,17.244897959183675,26.06377551020408,2.0,
0.5,3.0,0.0,,,6.62,2.8118367346938777,0.0,
0.6,3.0,0.0,,,4.1,2.5816326530612246,0.0,
0.7,3.0,0.0,,,2.76,1.1657142857142857,0.0,
0.8,3.0,0.0,,,1.86,0.36775510204081635,0.0,
0.9,3.0,0.0,,,1.66,0.26979591836734695,0.0,
0.1,3.0,0.05,,,795.0,,98.0,
0.2,3.0,0.05,,,235.92,2835.2995918367346,0.0,
0.3,3.0,0.05,,,48.88,170.72,0.0,
0.4,3.0,0.05,,,14.84,12.953469387755103,0.0,
0.5,3.0,0.05,,,6.66,4.433061224489796,0.0,
0.6,3.0,0.05,,,4.2,2.0408163265306123,0.0,
0.7,3.0,0.05,,,2.64,0.9697959183673469,0.0,
0.8,3.0,0.05,,,1.94,0.4657142857142857,0.0,
0.9,3.0,0.05,,,1.56,0.25142857142857145,0.0,
0.1,3.0,0.1,1121.027431,418.5274305,702.5,18928.94,80.0,0.6438929946
0.2,3.0,0.1,280.2568576,132.3168576,147.94,909.77,0.0,
0.3,3.0,0.1,124.5586034,86.09860339,38.46,60.91,0.0,
0.4,3.0,0.1,70.06421441,56.66421441,13.4,8.86,0.0,
0.5,3.0,0.1,44.84109722,38.48109722,6.36,3.7,0.0,
0.6,3.0,0.1,31.13965085,27.37965085,3.76,1.41,0.0,
0.7,3.0,0.1,22.87811083,20.13811083,2.74,0.93,0.0,
0.8,3.0,0.1,17.5160536,15.3360536,2.18,0.44,0.0,
0.9,3.0,0.1,13.83984482,12.25984482,1.58,0.25,0.0,
0.1,3.0,0.2,792.686098,258.576098,534.11,22003.61,82.0,
0.2,3.0,0.2,198.1715245,103.0115245,95.16,347.77,0.0,
0.3,3.0,0.2,88.07623311,57.05623311,31.02,60.91,0.0,
0.4,3.0,0.2,49.54288113,37.74288113,11.8,9.18,0.0,
0.5,3.0,0.2,31.70744392,26.26744392,5.44,1.8,0.0,
0.6,3.0,0.2,22.01905828,18.41905828,3.6,1.22,0.0,
0.7,3.0,0.2,16.17726731,13.63726731,2.54,0.78,0.0,
0.8,3.0,0.2,12.38572028,10.40572028,1.98,0.31,0.0,
0.9,3.0,0.2,9.786248124,8.206248124,1.58,0.33,0.0,
0.1,3.0,0.3,647.2254888,-4.374511215,651.6,49525.3,90.0,
0.2,3.0,0.3,161.8063722,71.9663722,89.84,257.97,0.0,
0.3,3.0,0.3,71.9139432,44.4139432,27.5,29.44,0.0,
0.4,3.0,0.3,40.45159305,29.35159305,11.1,4.01,0.0,
0.5,3.0,0.3,25.88901955,19.36901955,6.52,3.76,0.0,
