f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,53.0,,98.0,
0.4,3.0,0.0,,,16.5,43.319148936170215,4.0,
0.5,3.0,0.0,,,6.96,4.488163265306122,0.0,
0.6,3.0,0.0,,,3.62,1.7914285714285714,0.0,
0.7,3.0,0.0,,,2.64,0.7657142857142857,0.0,
0.8,3.0,0.0,,,2.2,0.6938775510204082,0.0,
0.9,3.0,0.0,,,1.86,0.4085714285714286,0.0,
0.1,3.0,0.05,,,,,100.0,
0.2,3.0,0.05,,,260.28,4691.634285714285,0.0,
0.3,3.0,0.05,,,48.9,191.8469387755102,0.0,
0.4,3.0,0.05,,,14.56,9.720816326530612,0.0,
0.5,3.0,0.05,,,6.12,4.107755102040817,0.0,
0.6,3.0,0.05,,,3.56,1.8024489795918368,0.0,
0.7,3.0,0.05,,,2.82,1.130204081632653,0.0,
0.8,3.0,0.05,,,1.9,0.21428571428571427,0.0,
0.9,3.0,0.05,,,1.54,0.29428571428571426,0.0,
0.1,3.0,0.1,1121.027431,281.7674305,839.26,9462.29,54.0,0.8742976168
0.2,3.0,0.1,280.2568576,39.37685763,240.88,4861.29,0.0,
0.3,3.0,0.1,124.5586034,23.33860339,101.22,1393.48,0.0,
0.4,3.0,0.1,70.06421441,25.52421441,44.54,285.19,0.0,
0.5,3.0,0.1,44.84109722,21.34109722,23.5,133.77,0.0,
0.6,3.0,0.1,31.13965085,19.67965085,11.46,30.17,0.0,
0.7,3.0,0.1,22.87811083,15.33811083,7.54,15.97,0.0,
0.8,3.0,0.1,17.5160536,13.1760536,4.34,5.05,0.0,
0.9,3.0,0.1,13.83984482,10.73984482,3.1,1.72,0.0,
0.1,3.0,0.2,792.686098,244.166098,548.52,14313.48,0.0,
0.2,3.0,0.2,198.1715245,66.77152451,131.4,1572.29,0.0,
0.3,3.0,0.2,88.07623311,41.09623311,46.98,182.96,0.0,
0.4,3.0,0.2,49.54288113,25.26288113,24.28,111.39,0.0,
0.5,3.0,0.2,31.70744392,18.80744392,12.9,34.62,0.0,
0.6,3.0,0.2,22.01905828,13.33905828,8.68,11.77,0.0,
0.7,3.0,0.2,16.17726731,10.43726731,5.74,4.89,0.0,
0.8,3.0,0.2,12.38572028,8.505720282,3.88,2.88,0.0,
0.9,3.0,0.2,9.786248124,7.206248124,2.58,0.62,0.0,
0.1,3.0,0.3,647.2254888,236.3854888,410.84,8590.83,0.0,
0.2,3.0,0.3,161.8063722,64.8863722,96.92,424.73,0.0,
0.3,3.0,0.3,71.9139432,35.8139432,36.1,143.11,0.0,
0.4,3.0,0.3,40.45159305,22.93159305,17.52,31.36,0.0,
0.5,3.0,0.3,25.88901955,15.58901955,10.3,9.68,0.0,
