N,topology,torus,moore,k,memory,influencer_placement,mobility_rate,steps,f_values,A_values,ord_A_values
100,lattice,False,False,4,0,even,0.0,200,"[0.0, 0.01020408, 0.02040816, 0.03061224, 0.04081633, 0.05102041, 0.06122449, 0.07142857, 0.08163265, 0.09183673, 0.10204082, 0.1122449, 0.12244898, 0.13265306, 0.14285714, 0.15306122, 0.16326531, 0.17346939, 0.18367347, 0.19387755, 0.20408163, 0.21428571, 0.2244898, 0.23469388, 0.24489796, 0.25510204, 0.26530612, 0.2755102, 0.28571429, 0.29591837, 0.30612245, 0.31632653, 0.32653061, 0.33673469, 0.34693878, 0.35714286, 0.36734694, 0.37755102, 0.3877551, 0.39795918, 0.40816327, 0.41836735, 0.42857143, 0.43877551, 0.44897959, 0.45918367, 0.46938776, 0.47959184, 0.48979592, 0.5]","[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.06, 0.07, 0.09, 0.09, 0.1, 0.13, 0.14, 0.16, 0.14, 0.15, 0.18, 0.25, 0.19, 0.19, 0.23, 0.21, 0.22, 0.24, 0.24, 0.3, 0.35, 0.35, 0.3, 0.34, 0.47, 0.41, 0.45, 0.5, 0.44, 0.6, 0.54, 0.65, 0.59, 0.73, 0.69, 0.71, 0.78, 0.72, 0.81, 0.77, 0.72, 0.96, 0.7]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01136364, 0.02272727, 0.03448276, 0.01149425, 0.0, 0.02380952, 0.09638554, 0.01219512, 0.0, 0.02531646, 0.02469136, 0.025, 0.03797468, 0.02564103, 0.06666667, 0.12162162, 0.12162162, 0.05405405, 0.10810811, 0.25352113, 0.14492754, 0.21428571, 0.26470588, 0.2, 0.39393939, 0.3030303, 0.453125, 0.33870968, 0.56451613, 0.515625, 0.52459016, 0.63934426, 0.53333333, 0.66666667, 0.60344828, 0.53333333, 0.93220339, 0.50819672]"
100,lattice,False,False,4,0,even,0.0,1000,"[0.0, 0.01020408, 0.02040816, 0.03061224, 0.04081633, 0.05102041, 0.06122449, 0.07142857, 0.08163265, 0.09183673, 0.10204082, 0.1122449, 0.12244898, 0.13265306, 0.14285714, 0.15306122, 0.16326531, 0.17346939, 0.18367347, 0.19387755, 0.20408163, 0.21428571, 0.2244898, 0.23469388, 0.24489796, 0.25510204, 0.26530612, 0.2755102, 0.28571429, 0.29591837, 0.30612245, 0.31632653, 0.32653061, 0.33673469, 0.34693878, 0.35714286, 0.36734694, 0.37755102, 0.3877551, 0.39795918, 0.40816327, 0.41836735, 0.42857143, 0.43877551, 0.44897959, 0.45918367, 0.46938776, 0.47959184, 0.48979592, 0.5]","[0.0, 0.01, 0.02, 0.03, 0.04, 0.04, 0.05, 0.06, 0.07, 0.09, 0.1, 0.14, 0.15, 0.13, 0.12, 0.17, 0.16, 0.17, 0.14, 0.17, 0.17, 0.2, 0.24, 0.27, 0.27, 0.3, 0.33, 0.29, 0.4, 0.43, 0.36, 0.47, 0.4, 0.43, 0.47, 0.48, 0.58, 0.66, 0.51, 0.68, 0.61, 0.72, 0.82, 0.84, 0.76, 0.89, 0.96, 0.92, 0.96, 0.83]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03370787, 0.03409091, 0.01136364, 0.0, 0.02352941, 0.01176471, 0.01190476, 0.0, 0.0, 0.01190476, 0.0, 0.03797468, 0.06410256, 0.05194805, 0.07894737, 0.09459459, 0.05333333, 0.17808219, 0.21917808, 0.09859155, 0.24285714, 0.15492958, 0.17391304, 0.24285714, 0.25714286, 0.36363636, 0.49253731, 0.27941176, 0.49206349, 0.37096774, 0.5483871, 0.71428571, 0.73333333, 0.59322034, 0.80701754, 0.93220339, 0.85454545, 0.93103448, 0.68518519]"
100,lattice,False,False,4,0,even,0.0,5000,"[0.0, 0.01020408, 0.02040816, 0.03061224, 0.04081633, 0.05102041, 0.06122449, 0.07142857, 0.08163265, 0.09183673, 0.10204082, 0.1122449, 0.12244898, 0.13265306, 0.14285714, 0.15306122, 0.16326531, 0.17346939, 0.18367347, 0.19387755, 0.20408163, 0.21428571, 0.2244898, 0.23469388, 0.24489796, 0.25510204, 0.26530612, 0.2755102, 0.28571429, 0.29591837, 0.30612245, 0.31632653, 0.32653061, 0.33673469, 0.34693878, 0.35714286, 0.36734694, 0.37755102, 0.3877551, 0.39795918, 0.40816327, 0.41836735, 0.42857143, 0.43877551, 0.44897959, 0.45918367, 0.46938776, 0.47959184, 0.48979592, 0.5]","[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.08, 0.08, 0.08, 0.1, 0.12, 0.12, 0.12, 0.15, 0.15, 0.17, 0.13, 0.19, 0.18, 0.22, 0.24, 0.24, 0.27, 0.34, 0.32, 0.36, 0.29, 0.32, 0.38, 0.3, 0.42, 0.47, 0.37, 0.41, 0.51, 0.55, 0.55, 0.58, 0.67, 0.55, 0.7, 0.61, 0.86, 0.72, 0.88, 0.87, 0.92, 0.96, 0.8]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01075269, 0.0, 0.0, 0.0, 0.01123596, 0.01123596, 0.0, 0.01162791, 0.0, 0.02352941, 0.0, 0.03571429, 0.01204819, 0.03703704, 0.05, 0.03797468, 0.06410256, 0.14285714, 0.10526316, 0.14666667, 0.06578947, 0.08108108, 0.15068493, 0.04109589, 0.18309859, 0.24285714, 0.11267606, 0.15714286, 0.27941176, 0.31818182, 0.32835821, 0.34375, 0.47619048, 0.31818182, 0.51612903, 0.37096774, 0.76666667, 0.53333333, 0.78947368, 0.76785714, 0.85714286, 0.93103448, 0.66666667]"
100,lattice,False,False,4,0,even,0.01,200,"[0.0, 0.01020408, 0.02040816, 0.03061224, 0.04081633, 0.05102041, 0.06122449, 0.07142857, 0.08163265, 0.09183673, 0.10204082, 0.1122449, 0.12244898, 0.13265306, 0.14285714, 0.15306122, 0.16326531, 0.17346939, 0.18367347, 0.19387755, 0.20408163, 0.21428571, 0.2244898, 0.23469388, 0.24489796, 0.25510204, 0.26530612, 0.2755102, 0.28571429, 0.29591837, 0.30612245, 0.31632653, 0.32653061, 0.33673469, 0.34693878, 0.35714286, 0.36734694, 0.37755102, 0.3877551, 0.39795918, 0.40816327, 0.41836735, 0.42857143, 0.43877551, 0.44897959, 0.45918367, 0.46938776, 0.47959184, 0.48979592, 0.5]","[0.0, 0.01, 0.02, 0.03, 0.03, 0.06, 0.06, 0.07, 0.08, 0.08, 0.1, 0.19, 0.11, 0.15, 0.2, 0.15, 0.16, 0.26, 0.22, 0.38, 0.37, 0.32, 0.36, 0.37, 0.43, 0.78, 0.7, 0.56, 0.67, 0.85, 0.76, 0.82, 0.73, 0.82, 0.7, 0.97, 1.0, 0.86, 1.0, 1.0, 0.89, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.01052632, 0.0, 0.0, 0.01075269, 0.0, 0.0, 0.08988764, 0.0, 0.02298851, 0.08045977, 0.02298851, 0.01176471, 0.11904762, 0.06024096, 0.2345679, 0.23170732, 0.17073171, 0.2, 0.20253165, 0.27848101, 0.71052632, 0.59459459, 0.42105263, 0.55405405, 0.79166667, 0.66666667, 0.74647887, 0.625, 0.74647887, 0.57142857, 0.95522388, 1.0, 0.78461538, 1.0, 1.0, 0.83076923, 0.93548387, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
100,lattice,False,False,4,0,even,0.01,1000,"[0.0, 0.01020408, 0.02040816, 0.03061224, 0.04081633, 0.05102041, 0.06122449, 0.07142857, 0.08163265, 0.09183673, 0.10204082, 0.1122449, 0.12244898, 0.13265306, 0.14285714, 0.15306122, 0.16326531, 0.17346939, 0.18367347, 0.19387755, 0.20408163, 0.21428571, 0.2244898, 0.23469388, 0.24489796, 0.25510204, 0.26530612, 0.2755102, 0.28571429, 0.29591837, 0.30612245, 0.31632653, 0.32653061, 0.33673469, 0.34693878, 0.35714286, 0.36734694, 0.37755102, 0.3877551, 0.39795918, 0.40816327, 0.41836735, 0.42857143, 0.43877551, 0.44897959, 0.45918367, 0.46938776, 0.47959184, 0.48979592, 0.5]","[0.0, 0.01, 0.03, 0.03, 0.03, 0.05, 0.07, 0.14, 0.09, 0.1, 0.27, 0.32, 0.29, 0.31, 0.27, 0.48, 0.8, 0.71, 0.77, 0.58, 0.92, 0.96, 0.86, 0.88, 1.0, 1.0, 0.97, 1.0, 0.94, 1.0, 1.0, 1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.01020408, 0.0, 0.0, 0.0, 0.0106383, 0.08510638, 0.01086957, 0.01098901, 0.18888889, 0.24444444, 0.19318182, 0.2247191, 0.16091954, 0.38823529, 0.76470588, 0.6547619, 0.72289157, 0.4939759, 0.90123457, 0.95, 0.825, 0.84615385, 1.0, 1.0, 0.96052632, 1.0, 0.91666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94202899, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
100,lattice,False,False,4,0,even,0.01,5000,"[0.0, 0.0020408163265306124, 0.004081632653061225, 0.006122448979591837, 0.00816326530612245, 0.010204081632653062, 0.012244897959183675, 0.014285714285714287, 0.0163265306122449, 0.018367346938775512, 0.020408163265306124, 0.022448979591836737, 0.02448979591836735, 0.02653061224489796, 0.028571428571428574, 0.030612244897959186, 0.0326530612244898, 0.03469387755102041, 0.036734693877551024, 0.03877551020408164, 0.04081632653061225, 0.04285714285714286, 0.04489795918367347, 0.04693877551020409, 0.0489795918367347, 0.05102040816326531, 0.05306122448979592, 0.05510204081632654, 0.05714285714285715, 0.05918367346938776, 0.06122448979591837, 0.06326530612244899, 0.0653061224489796, 0.0673469387755102, 0.06938775510204082, 0.07142857142857144, 0.07346938775510205, 0.07551020408163266, 0.07755102040816328, 0.07959183673469389, 0.0816326530612245, 0.0836734693877551, 0.08571428571428572, 0.08775510204081634, 0.08979591836734695, 0.09183673469387756, 0.09387755102040818, 0.09591836734693879, 0.0979591836734694, 0.1]","[0.0, 0.0, 0.0, 0.01, 0.06, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.21, 0.13, 0.21, 0.03, 0.28, 0.04, 0.04, 0.37, 0.04, 0.04, 0.24, 0.07, 0.08, 0.13, 0.59, 0.13, 0.3, 0.25, 0.45, 0.69, 0.34, 0.33, 0.55, 0.53, 0.77, 0.92, 0.56, 0.39, 0.48, 0.52, 0.86, 0.69, 0.85, 0.9, 0.53, 0.48, 0.91]","[0.0, 0.0, 0.0, 0.0, 0.050505050505050504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18556701030927836, 0.11224489795918367, 0.18556701030927836, 0.0, 0.25773195876288657, 0.0, 0.0, 0.34375, 0.0, 0.0, 0.2, 0.03125, 0.041666666666666664, 0.08421052631578947, 0.5638297872340425, 0.08421052631578947, 0.2553191489361702, 0.20212765957446807, 0.4148936170212766, 0.6666666666666666, 0.2978723404255319, 0.2872340425531915, 0.5161290322580645, 0.5, 0.75, 0.9130434782608695, 0.5268817204301075, 0.34408602150537637, 0.43478260869565216, 0.4725274725274725, 0.8461538461538461, 0.6593406593406593, 0.8369565217391305, 0.8901098901098901, 0.4835164835164835, 0.42857142857142855, 0.9010989010989011]"
100,lattice,False,False,4,0,even,0.05,200,"[0.0, 0.004081632653061225, 0.00816326530612245, 0.012244897959183675, 0.0163265306122449, 0.020408163265306124, 0.02448979591836735, 0.028571428571428574, 0.0326530612244898, 0.036734693877551024, 0.04081632653061225, 0.04489795918367347, 0.0489795918367347, 0.05306122448979592, 0.05714285714285715, 0.06122448979591837, 0.0653061224489796, 0.06938775510204082, 0.07346938775510205, 0.07755102040816328, 0.0816326530612245, 0.08571428571428572, 0.08979591836734695, 0.09387755102040818, 0.0979591836734694, 0.10204081632653061, 0.10612244897959185, 0.11020408163265308, 0.1142857142857143, 0.11836734693877551, 0.12244897959183675, 0.12653061224489798, 0.1306122448979592, 0.1346938775510204, 0.13877551020408163, 0.14285714285714288, 0.1469387755102041, 0.1510204081632653, 0.15510204081632656, 0.15918367346938778, 0.163265306122449, 0.1673469387755102, 0.17142857142857143, 0.17551020408163268, 0.1795918367346939, 0.1836734693877551, 0.18775510204081636, 0.19183673469387758, 0.1959183673469388, 0.2]","[0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 0.02, 0.02, 0.02, 0.05, 0.1, 0.04, 0.18, 0.05, 0.05, 0.12, 0.07, 0.12, 0.18, 0.08, 0.12, 0.09, 0.13, 0.28, 0.22, 0.35, 0.22, 0.45, 0.25, 0.29, 0.61, 0.36, 0.38, 0.22, 0.42, 0.27, 0.34, 0.52, 0.78, 0.58, 0.76, 0.82, 0.56, 0.84, 0.62, 0.6, 0.94, 0.89, 0.58, 0.87]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010416666666666666, 0.0625, 0.0, 0.1368421052631579, 0.0, 0.0, 0.06382978723404255, 0.0, 0.053763440860215055, 0.11827956989247312, 0.0, 0.043478260869565216, 0.010869565217391304, 0.04395604395604396, 0.2087912087912088, 0.13333333333333333, 0.2777777777777778, 0.13333333333333333, 0.38202247191011235, 0.16666666666666666, 0.19318181818181818, 0.5568181818181818, 0.2727272727272727, 0.29545454545454547, 0.12359550561797752, 0.32558139534883723, 0.16091954022988506, 0.23255813953488372, 0.4418604651162791, 0.7411764705882353, 0.5058823529411764, 0.7176470588235294, 0.7857142857142857, 0.47619047619047616, 0.8072289156626506, 0.5476190476190477, 0.5180722891566265, 0.926829268292683, 0.8674698795180723, 0.48148148148148145, 0.8395061728395061]"
100,lattice,False,False,4,0,even,0.05,1000,"[0.0, 0.0020408163265306124, 0.004081632653061225, 0.006122448979591837, 0.00816326530612245, 0.010204081632653062, 0.012244897959183675, 0.014285714285714287, 0.0163265306122449, 0.018367346938775512, 0.020408163265306124, 0.022448979591836737, 0.02448979591836735, 0.02653061224489796, 0.028571428571428574, 0.030612244897959186, 0.0326530612244898, 0.03469387755102041, 0.036734693877551024, 0.03877551020408164, 0.04081632653061225, 0.04285714285714286, 0.04489795918367347, 0.04693877551020409, 0.0489795918367347, 0.05102040816326531, 0.05306122448979592, 0.05510204081632654, 0.05714285714285715, 0.05918367346938776, 0.06122448979591837, 0.06326530612244899, 0.0653061224489796, 0.0673469387755102, 0.06938775510204082, 0.07142857142857144, 0.07346938775510205, 0.07551020408163266, 0.07755102040816328, 0.07959183673469389, 0.0816326530612245, 0.0836734693877551, 0.08571428571428572, 0.08775510204081634, 0.08979591836734695, 0.09183673469387756, 0.09387755102040818, 0.09591836734693879, 0.0979591836734694, 0.1]","[0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.09, 0.01, 0.02, 0.08, 0.15, 0.02, 0.02, 0.03, 0.12, 0.03, 0.13, 0.02, 0.04, 0.11, 0.03, 0.11, 0.05, 0.23, 0.05, 0.13, 0.05, 0.5, 0.2, 0.45, 0.47, 0.35, 0.28, 0.53, 0.22, 0.43, 0.32, 0.42, 0.62, 0.87, 0.67, 0.3, 0.78, 0.96, 0.57, 0.64, 0.58, 0.92, 0.52, 0.92]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08080808080808081, 0.0, 0.0, 0.061224489795918366, 0.1326530612244898, 0.0, 0.0, 0.0, 0.09278350515463918, 0.0, 0.11224489795918367, 0.0, 0.0, 0.07291666666666667, 0.0, 0.07291666666666667, 0.010416666666666666, 0.19791666666666666, 0.0, 0.08421052631578947, 0.0, 0.46808510638297873, 0.15789473684210525, 0.4148936170212766, 0.43617021276595747, 0.30851063829787234, 0.22580645161290322, 0.4946236559139785, 0.16129032258064516, 0.3870967741935484, 0.2765957446808511, 0.3763440860215054, 0.5869565217391305, 0.8586956521739131, 0.6413043478260869, 0.2391304347826087, 0.7582417582417582, 0.9565217391304348, 0.5376344086021505, 0.6086956521739131, 0.5384615384615384, 0.9111111111111111, 0.4725274725274725, 0.9111111111111111]"
100,lattice,False,False,4,0,even,0.05,5000,"[0.0, 0.0020408163265306124, 0.004081632653061225, 0.006122448979591837, 0.00816326530612245, 0.010204081632653062, 0.012244897959183675, 0.014285714285714287, 0.0163265306122449, 0.018367346938775512, 0.020408163265306124, 0.022448979591836737, 0.02448979591836735, 0.02653061224489796, 0.028571428571428574, 0.030612244897959186, 0.0326530612244898, 0.03469387755102041, 0.036734693877551024, 0.03877551020408164, 0.04081632653061225, 0.04285714285714286, 0.04489795918367347, 0.04693877551020409, 0.0489795918367347, 0.05102040816326531, 0.05306122448979592, 0.05510204081632654, 0.05714285714285715, 0.05918367346938776, 0.06122448979591837, 0.06326530612244899, 0.0653061224489796, 0.0673469387755102, 0.06938775510204082, 0.07142857142857144, 0.07346938775510205, 0.07551020408163266, 0.07755102040816328, 0.07959183673469389, 0.0816326530612245, 0.0836734693877551, 0.08571428571428572, 0.08775510204081634, 0.08979591836734695, 0.09183673469387756, 0.09387755102040818, 0.09591836734693879, 0.0979591836734694, 0.1]","[0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.34, 0.01, 0.02, 0.94, 0.96, 0.76, 0.36, 0.42, 0.89, 0.87, 1.0, 0.6, 0.89, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32653061224489793, 0.0, 0.0, 0.9381443298969072, 0.9587628865979382, 0.7525773195876289, 0.3402061855670103, 0.4020618556701031, 0.8854166666666666, 0.865979381443299, 1.0, 0.5876288659793815, 0.8865979381443299, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8421052631578947, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
100,lattice,False,False,4,0,even,0.1,200,"[0.0, 0.004081632653061225, 0.00816326530612245, 0.012244897959183675, 0.0163265306122449, 0.020408163265306124, 0.02448979591836735, 0.028571428571428574, 0.0326530612244898, 0.036734693877551024, 0.04081632653061225, 0.04489795918367347, 0.0489795918367347, 0.05306122448979592, 0.05714285714285715, 0.06122448979591837, 0.0653061224489796, 0.06938775510204082, 0.07346938775510205, 0.07755102040816328, 0.0816326530612245, 0.08571428571428572, 0.08979591836734695, 0.09387755102040818, 0.0979591836734694, 0.10204081632653061, 0.10612244897959185, 0.11020408163265308, 0.1142857142857143, 0.11836734693877551, 0.12244897959183675, 0.12653061224489798, 0.1306122448979592, 0.1346938775510204, 0.13877551020408163, 0.14285714285714288, 0.1469387755102041, 0.1510204081632653, 0.15510204081632656, 0.15918367346938778, 0.163265306122449, 0.1673469387755102, 0.17142857142857143, 0.17551020408163268, 0.1795918367346939, 0.1836734693877551, 0.18775510204081636, 0.19183673469387758, 0.1959183673469388, 0.2]","[0.0, 0.0, 0.0, 0.01, 0.02, 0.06, 0.02, 0.03, 0.03, 0.05, 0.04, 0.03, 0.13, 0.06, 0.07, 0.06, 0.07, 0.32, 0.14, 0.34, 0.35, 0.24, 0.14, 0.2, 0.53, 0.22, 0.38, 0.36, 0.45, 0.55, 0.53, 0.48, 0.57, 0.84, 0.56, 0.8, 0.82, 0.84, 0.96, 0.87, 1.0, 1.0, 0.86, 0.85, 0.92, 0.88, 0.75, 1.0, 0.96, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.04081632653061224, 0.0, 0.0, 0.0, 0.010416666666666666, 0.0, 0.0, 0.08421052631578947, 0.010526315789473684, 0.010638297872340425, 0.0, 0.0, 0.26881720430107525, 0.07526881720430108, 0.2826086956521739, 0.29347826086956524, 0.17391304347826086, 0.06521739130434782, 0.13043478260869565, 0.4777777777777778, 0.14285714285714285, 0.3111111111111111, 0.28888888888888886, 0.3888888888888889, 0.4943820224719101, 0.4659090909090909, 0.4157303370786517, 0.5113636363636364, 0.8160919540229885, 0.4942528735632184, 0.7701149425287356, 0.788235294117647, 0.8160919540229885, 0.9523809523809523, 0.8470588235294118, 1.0, 1.0, 0.8313253012048193, 0.8192771084337349, 0.9036144578313253, 0.8571428571428571, 0.7023809523809523, 1.0, 0.95, 1.0]"
